Id,routeId,nameZh,nameEn,seqNo,pgp,goBack,longitude,latitude,address,coordinate
14309,10732,海巡署,Coast Guard Administration,12,,0,121.5594777,24.99480432,興隆路三段296號同向(向南),"121.5594777, 24.99480432"
14311,10732,海巡署一,Coast Guard Administration 1,13,,0,121.558778,24.993046,興隆路三段302之4號同向(向南),"121.558778, 24.993046"
14335,10732,北新公寓,Beixin Apartment,26,,0,121.54475,24.97479,寶橋路49號同向(向西),"121.54475, 24.97479"
14341,10732,中正路口,Zhongzheng Rd. Intersection,29,,0,121.541397,24.971908,中正路160號同向(向西),"121.541397, 24.971908"
14413,10732,景平路景德街口,Jingping Jingde Intersection,66,,1,121.519446,24.991327,景平路116號同向(向東),"121.519446, 24.991327"
14415,10732,捷運秀朗橋站,MRT Xiulang Bridge Sta.,67,-1,1,121.524836,24.990204,景平路3號(向東),"121.524836, 24.990204"
14387,10732,永貞社區,Zhongshan Rd. Intersection,56,-1,0,121.507356,25.009328,新北市永和區永貞社區(向東),"121.507356, 25.009328"
14389,10732,保平路口,Baoping Rd. Intersection,57,,0,121.510644,25.005904,新北市永貞路303號(向東),"121.510644, 25.005904"
14391,10732,捷運永安市場站,MRT Yungan Market Station,58,,0,121.510832,25.002521,中和路513號同向(向南),"121.510832, 25.002521"
14393,10732,華泰新城,Huatai Xincheng,59,,0,121.509035,25.000533,中和路310號(向南),"121.509035, 25.000533"
14405,10732,中和教會,Zhonghe Church,63,,1,121.509186,24.992776,景平路243號同向(向東),"121.509186, 24.992776"
182936,17548,安華路口,Anhua Rd. Intersection,51,0,1,121.5213653,24.96370503,安康路一段323號之3號(向東),"121.5213653, 24.96370503"
187030,17700,南園,Nanyuan,4,-1,0,121.385364,24.948118,樹林區佳園路三段203號,"121.385364, 24.948118"
187031,17700,景觀萬坪公園(公厝仔),Landscape Wanping Park(Gongcuozi),5,,0,121.386061,24.949747,新北市樹林區佳園路3段139號(向北),"121.386061, 24.949747"
187032,17700,十八間,Shibajian,6,,0,121.387879,24.953168,樹林區佳園路三段55號(向北),"121.387879, 24.953168"
187033,17700,柑園,Ganyuan,7,,0,121.389064,24.955979,新北市樹林區柑園街一段355號(向東),"121.389064, 24.955979"
187034,17700,柑園國小,Ganyuan Elementary School,8,,0,121.391823,24.956347,樹林區柑園街一段323號,"121.391823, 24.956347"
187035,17700,民權街口,Minquan St. Entrance,9,,0,121.3954417,24.95651,樹林區柑園街一段190號對面,"121.3954417, 24.95651"
187036,17700,柑園街,Ganyuan St.,10,,0,121.39893,24.956761,樹林區柑園街一段183號(向北),"121.39893, 24.956761"
187037,17700,東園里,Dongyuan Village,11,,0,121.400475,24.95845,樹林區柑園街一段151號(向北),"121.400475, 24.95845"
187038,17700,柑園分隊,Ganyuan Precinct,12,,0,121.4023,24.960227,樹林區柑園街一段67-1號(向東),"121.4023, 24.960227"
187039,17700,紅瓦厝,Hungwacuo,13,,0,121.404567,24.960388,樹林區柑園街一段23-2號(向北),"121.404567, 24.960388"
150936,16282,重建街口,JhongJian St. Entrance,30,,1,121.439321,25.17277822,文化路2號(向西),"121.439321, 25.17277822"
150937,16282,淡水新城,Tamsui Xincheng,31,,1,121.4390297,25.17433,新生街72號,"121.4390297, 25.17433"
150938,16282,海景園中園,Haijing Yuanzhongyuan,32,,1,121.439329,25.175529,淡水區新民街21號對面,"121.439329, 25.175529"
150939,16282,農會新興分部,Farmers Association Xinxing Branch,33,-1,1,121.4385393,25.176495,新北市淡水區農會新興分部(向西),"121.4385393, 25.176495"
150940,16282,淡江中學,Tamkang High School,34,,1,121.438052,25.177405,新民街114號,"121.438052, 25.177405"
150941,16282,真理大學,Aletheia University,35,,1,121.436927,25.178764,新民街164號旁(向西),"121.436927, 25.178764"
150942,16282,新興福德宮,Xinxing Fude Temple,36,-1,1,121.43621,25.180373,淡水區新民街220號(向北),"121.43621, 25.180373"
150944,16282,台北灣社區,Taibeiwan Community,39,,1,121.432072,25.185312,新北市淡水區新民街一段1號對面(向西),"121.432072, 25.185312"
150945,16282,行忠宮,Xingzhong Temple,40,,1,121.4302211,25.18571,新北市淡水區新民街一段80號,"121.4302211, 25.18571"
150946,16282,大庄福德廟,Dazhuang Fude Temple,41,,1,121.4274905,25.188922,新北市淡水區新民街一段155號對面,"121.4274905, 25.188922"
150949,16282,沙崙濱海路口,Shalun & Binhai Intersection,45,,1,121.431125,25.191255,沙崙路編號431690號電桿旁(向北),"121.431125, 25.191255"
150950,16282,新市二路二段,Xinshi 2nd Rd. Sec. 2,46,,1,121.431275,25.194337,淡水區新市二路三段沙崙路口西側30公尺對面(向西),"121.431275, 25.194337"
150951,16282,太子廟,Taizi Temple,50,,1,121.4284871,25.199831,淡水區後洲路一段177號對面,"121.4284871, 25.199831"
150962,16682,電信大樓,Telecommunication Repair Center,148,0,1,121.7251728,25.122571,安樂路二段104號,"121.7251728, 25.122571"
150963,16682,安樂區行政大樓,Administration Center,149,0,1,121.7233784,25.12093,安樂路二段153號對面,"121.7233784, 25.12093"
12661,10281,營盤口,Yingpankou,21,,0,121.431382,25.031553,中正路524號對向(向北),"121.431382, 25.031553"
12663,10281,捷運輔大站,MRT Fu Jen University Station,22,,0,121.435466,25.032612,捷運B出入口(向東),"121.435466, 25.032612"
12665,10281,盲人重建院,Institute for the Blind,23,,0,121.442607,25.033904,中正路455-2號同向(向東),"121.442607, 25.033904"
12667,10281,海山里,Haishan Village,24,,0,121.44483,25.034382,中正路415號(向東),"121.44483, 25.034382"
12669,10281,新泰路口,Xintai Rd. Intersection,25,,0,121.447739,25.034987,新北市新莊區中正路325號(向東),"121.447739, 25.034987"
12671,10281,捷運新莊站(新莊郵局),MRT Xinzhuang Sta.(Xinzhuang Post Office),26,,0,121.449469,25.035376,中正路265號(向東),"121.449469, 25.035376"
