name,star,comment,class,address,latitude,longitude
迷客夏Milksha 新北三峽北大店,3.6,321,冰品飲料店,新北市三峽區國際二街33號1樓,24.9432073,121.3726224
雙予綿綿冰（原峽客冰品),4.3,15,冰品飲料店,新北市三峽區中山路141號,24.9361434,121.365088
芋見豆花,4.7,132,冰品飲料店,新北市三峽區文化路246號,24.9359211,121.367499
呷冰站(台灣鮮果手工冰),4.4,216,冰品飲料店,新北市三峽區國際一街82號1 樓,24.9415729,121.3712196
Bella甜品專賣北大店,4.6,47,冰品飲料店,新北市三峽區國際一街27號,24.9424157,121.3737864
安安冰?室,4.9,40,冰品飲料店,新北市三峽區文化路193號,24.935601,121.3667312
三峽老街冰店,4.4,91,冰品飲料店,新北市三峽區民權街10號,24.9346258,121.3702061
ㄚ冰師古早香紅茶冰,3.7,25,飲品分銷商,新北市三峽區大勇路80號,24.9360841,121.3670906
唐香蘭涼麵｜真果粉圓｜蔬食手捲,4.8,58,冰品飲料店,新北市三峽區大同路56號,24.9286129,121.376951
茗食茶,4.4,23,冰品飲料店,新北市三峽區大觀路313號,24.9475348,121.3730902
伊希詩ISIS冷飲,4.4,13,冰品飲料店,新北市三峽區大學路109-1號,24.9420845,121.3756495
古道阿彬杏仁茶,3.5,113,飲料,新北市三峽區民權街40號,24.9336735,121.369658
魔法香腸 Magic Sausage,5,916,冰品飲料店,新北市三峽區民權街97號,24.9326914,121.3692766
金聯春老房子,4,1,冰品飲料店,新北市三峽區民權街5 3號,24.9334179,121.369771
YCHY拾味(三峽義大利麵、三峽咖啡廳、三峽午餐、三峽晚餐、三峽下午茶、三峽人氣餐廳、三峽平價美食）,4.5,736,冰品飲料店,新北市三峽區國際一街27-1號1樓,24.9424002,121.3737362
禾乃川國產豆製所,4.4,1,冰品飲料店,新北市民權街84巷12-1號*最後點餐時間17:30,24.9337739,121.3689688
啡茶小棧,0,0,冰品飲料店,新北市三峽區白雞路153-1號白雞商圈,24.9049821,121.4008095
蟾蜍山谷冷飲店,5,52,冰品飲料店,新北市三峽區,24.8564912,121.4357632
嚐冰閣,0,0,冰品飲料店,新北市三峽區介壽路三段146號,24.9432035,121.4012029
我家苦茶 草本養生茶舖,4.9,17,冰品飲料店,新北市三峽區白雞路1號153 之 號,24.9048573,121.4005201
穩贏生技股份有限公司(北區營業處),0,0,飲品分銷商,新北市三峽區添福路151之7號,24.8989055,121.3753074
日月閒境,4.7,12,冰品飲料店,桃園市大溪區信義路956號,24.8949062,121.3195782
葵可利—飲料店(早餐廣東粥),4.4,13,冰品飲料店,桃園市大溪區民權東路78號,24.8822025,121.2914058
