name,star,comment,class,address,latitude,longitude
世界健身俱樂部 新北永和店,4.7,2,健身室,新北市永和區仁愛路309號B1,25.0077737,121.5034366
新北高中游泳池,3.9,93,室內游泳池,新北市三重區三信路1號,25.0880968,121.4903638
新莊泰拳運動武館,5,16,泰拳拳擊館,新北市新莊區八德街88巷9號1樓,25.0218332,121.4239393
肌轉Fitness Studio|肌轉健身|板橋新埔健身房,4.8,50,健身室,新北市板橋區文化路二段24號,25.0244283,121.4690377
動一下 體適能運動中心 三重,4.9,447,運動協會,新北市三重區重新路三段39號2 樓,25.0614385,121.4936848
世界健身俱樂部 台北中和店,4.7,1,健身室,新北市中和區中山路三段35-3號,25.005635,121.478544
EZ FITNESS 運動 健身教室 新莊館,5,86,健身室,新北市新莊區新豐街20巷3號,25.0343575,121.4480469
健身工廠 Fitness Factory 板橋廠,4.5,1,健身俱樂部,新北市板橋區民生路一段28之1號28之1號,25.0129394,121.4764705
世界健身俱樂部 新北板橋府中店,4.5,1,健身室,新北市板橋區中山路一段10號1F,25.0078573,121.460188
Happy Fitness 專業健身工作室-新北永和健身房/私人教練 重量肌力訓練/體態雕塑/體能/減肥/瘦身 小班制/一對一/私人教練課 自由教練場地租借 專業費用諮詢推薦 PTT Dcard,4.9,42,健身室,新北市永和區永貞路360巷3號1樓,25.0069914,121.5105356
走吧運動 新莊一館,4.5,296,健身室,新北市新莊區裕民街128號B1,25.0224323,121.4178794
中正運動中心,4.2,3,綜合運動中心,台北市中正區信義路一段1號,25.0384552,121.519462
時尚運動健身俱樂部,4.8,203,運動協會,新北市中和區景安路46號B1,24.9981028,121.506892
伊登體適能 Edenfitness,5,241,健身室,新北市新莊區新泰路2之20號1樓,25.0320386,121.450078
身體旅行運動空間,4.8,239,健身室,新北市新店區北新路二段145號2樓,24.9758657,121.5427002
MORE FIT 江子翠店（江子翠站1號出口）,4.7,470,健身室,新北市板橋區雙十路三段31號3樓,25.0314125,121.4705619
臺北市大安運動中心,4.2,5,健身室,台北市大安區辛亥路三段55號,25.020739,121.545757
World Gym世界健身俱樂部 新北土城店,4.8,2,健身室,新北市土城區青雲路152號5F,24.9833595,121.4589232
玩美體態健身房 Charming Body,5,310,健身室,新北市板橋區板新路92號1樓,25.0146606,121.472553
第一運動場,4.8,17,公車站,新北市板橋區,25.0112782,121.4681582
新北跆拳道訓練中心,5,26,跆拳道學校,新北市三重區泉州街84巷1號,25.0544424,121.4948843
World Gym世界健身俱樂部 新北板橋中山店,4.8,3,健身室,新北市板橋區中山路二段326號,25.0196226,121.4812165
飛奇兒體操教學系統FlyKids(新北市永和館),4.8,205,體操中心,新北市永和區中和路499號2號樓之1,25.0022564,121.5105916
健身工廠 Fitness Factory 新埔廠,4.6,653,健身俱樂部,新北市板橋區民生路三段323號,25.0312498,121.4631271
好力女性健身房,4.9,105,健身室,新北市板橋區國慶路161-1號2樓,24.9962269,121.4617776
台北市體育運動教練職業工會,3.1,16,私人教練,"B1, No. 11號和平東路三段大安區台北市106",25.0247848,121.5470303
飛奇兒體操教學系統FlyKids(新北市板橋館),4.8,73,體操中心,新北市板橋區板新路107號1樓,25.014035,121.472451
新北中信特攻主場 New Taipei CTBC DEA,5,1,體育館,新北市新莊區中華路一段75號,25.0405339,121.4519225
好時光女生運動樂園 The GTFP Plus (江翠2館),5,48,健身室,新北市板橋區文化路二段182巷3弄50號3樓,25.0287417,121.4726986
綜合運動公園,4.4,546,公園,新北市三重區新北大道一段,25.062122,121.4901636
JX健身俱樂部 - 板橋店,4.8,432,健身室,新北市板橋區文化路一段188巷59號2樓,25.0179317,121.4689015
新北市基層選手游泳訓練館,4.5,58,泳池,新北市永和區民生路234號,24.9982455,121.5227057
發芽馬鈴薯的運動空間,5,174,健身俱樂部,新北市三重區福德南路12號,25.0633577,121.502865
永和桌球練功坊,4.9,7,健身室,新北市永和區福和路299號,25.0072094,121.5164914
GYM STAR 星辰健身,5,58,健身室,新北市板橋區文化路二段225巷2號1樓,25.028484,121.4705632
馬師傅專業運動按摩／完全預約制／筋膜放鬆／張力調整／呼吸重建,5,92,運動按摩治療師,新北市板橋區文化路一段387巷23號1 樓,25.0221764,121.4659666
藍鵲排球館,4.7,71,排球場,新北市中和區圓通路439-2號,24.9868622,121.4855522
林口Ace排球館 | 亞斯運動 | 室內排球館,4.1,35,綜合運動中心,新北市林口區民生路102-3號,25.08826,121.3774824
戶外籃球場及排球場,3.2,5,籃球場,新北市林口區,25.0695427,121.4039673
輔仁大學排球場,5,2,排球場,新北市新莊區中正路510號,25.0393185,121.4338776
浮洲排球場,5,1,排球場,新北市板橋區僑中一街124巷54-1號,25.0155839,121.4482707
