name,class,address,latitude,longitude,"latitude, longitude"
私立醒吾高級中學附設國中部,中學,新北市林口區粉寮路一段75巷80號,25.079564,121.395793,"25.079564, 121.395793"
新北市私立天主教徐匯高級中學,男子高中,新北市蘆洲區中山一路1號,25.080107,121.480124,"25.080107, 121.480124"
天主教新北市私立崇光高級中學,中學,新北市新店區三民路18號,24.9718753,121.538946,"24.9718753, 121.538946"
光仁高級中學,私立學校,新北市板橋區中山路二段255巷18號,25.0183602,121.476469,"25.0183602, 121.476469"
新北市私立竹林高級中學,中學,新北市中和區華新街143巷12號,24.9808934,121.5064184,"24.9808934, 121.5064184"
新北市私立及人高級中學,高中,新北市新店區安興路1號,24.966799,121.51489,"24.966799, 121.51489"
新北市私立辭修高級中學,高中,新北市三峽區溪東路251號,24.932696,121.407931,"24.932696, 121.407931"
康橋國際學校林口校區,國際學校,新北市林口區興林路55號,25.0737645,121.3904989,"25.0737645, 121.3904989"
新北市私立時雨高級中學,中學,新北市瑞芳區祈堂路217號,25.1093387,121.8549124,"25.1093387, 121.8549124"
樹人高級家事商業職業學校,職業學校,新北市樹林區大安路216號,24.994468,121.4192578,"24.994468, 121.4192578"
新北市私立復興高級商工職業學校,職業學院,新北市永和區秀朗路一段201號,25.0037569,121.518644,"25.0037569, 121.518644"
南強高級工商職業學校,職業學校,新北市新店區文化路42號,24.9807401,121.54519,"24.9807401, 121.54519"
穀保家商,職業學院,新北市三重區中正北路560巷38號,25.0693157,121.4710759,"25.0693157, 121.4710759"
智光學校財團法人新北市智光高級商工職業學校,職業學院,新北市永和區中正路100號,24.9955979,121.5143313,"24.9955979, 121.5143313"
新北市私立清傳高級商業職業學校,職業學校,新北市三重區五谷王北街141巷1號,25.0520106,121.4768683,"25.0520106, 121.4768683"
能仁家商,職業學院,"No. 53巷10號, 文中路, 新店區新北市231",24.9579932,121.5401745,"24.9579932, 121.5401745"
新北市私立豫章高級工商職業學校,職業學院,新北市板橋區四川路一段391號,24.9972709,121.4582556,"24.9972709, 121.4582556"
新北市私立莊敬高級工業家事職業學校永和校區,職業學院,新北市永和區博愛街36號,25.015829,121.519253,"25.015829, 121.519253"
中華商業海事職業學校,職業學校,新北市萬里區瑪鋉路15號,25.1777237,121.6852677,"25.1777237, 121.6852677"
新北市立泰山高級中學,高中,新北市泰山區辭修路7號,25.0578001,121.4297682,"25.0578001, 121.4297682"
新北市立板橋高級中學,高中,新北市板橋區文化路一段25號,25.0116977,121.4590166,"25.0116977, 121.4590166"
新北市立新店高級中學,高中,新北市新店區中央路93號,24.9752372,121.5323491,"24.9752372, 121.5323491"
新北市立中和高級中學,高中,新北市中和區連城路460號,24.9943663,121.4780512,"24.9943663, 121.4780512"
新北市立新莊高級中學,高中,新北市新莊區中平路135號,25.048226,121.4445402,"25.048226, 121.4445402"
新北市立新北高級中學,高中,新北市三重區三信路1號,25.0866666,121.4908618,"25.0866666, 121.4908618"
新北市立林口高級中學,高中,新北市林口區仁愛路二段173號,25.0735476,121.3810618,"25.0735476, 121.3810618"
新北市瑞芳區瑞芳高級工業職業學校,職業學院,新北市瑞芳區瑞芳街60號,25.1109132,121.8041354,"25.1109132, 121.8041354"
新北市立三重高級商工職業學校,職業學院,新北市三重區中正北路163號,25.0689866,121.4801786,"25.0689866, 121.4801786"
新北市立新北高級工業職業學校,職業學院,新北市土城區學府路一段241號,24.982651,121.4501202,"24.982651, 121.4501202"
新北市立淡水高級商工職業學校,職業學校,新北市淡水區商工路307號,25.187354,121.4543008,"25.187354, 121.4543008"
新北市立海山高級中學,高中,新北市板橋區漢生東路215號,25.0105849,121.4714003,"25.0105849, 121.4714003"
新北市立三重高級中學,學校,新北市三重區集美街212號,25.0548553,121.4913211,"25.0548553, 121.4913211"
新北市立永平高級中學,高中,新北市永和區永平路205號,25.0106314,121.5085744,"25.0106314, 121.5085744"
新北市立樹林高級中學,高中,新北市樹林區中華路8號,24.9830072,121.4222733,"24.9830072, 121.4222733"
新北市立明德高級中學,高中,新北市三峽區中正路二段399號,24.9053305,121.3650897,"24.9053305, 121.3650897"
新北市立秀峰高級中學,高中,新北市汐止區忠孝東路201號,25.0657829,121.6608704,"25.0657829, 121.6608704"
新北市立金山高級中學,學校,新北市金山區文化二路2號,25.224676,121.637008,"25.224676, 121.637008"
新北市立安康高級中學,高中,新北市新店區安興路25號,24.9696795,121.5145853,"24.9696795, 121.5145853"
新北市立雙溪高級中學,高中,新北市雙溪區梅竹蹊路3號,25.0365939,121.8621756,"25.0365939, 121.8621756"
新北市立石碇高級中學,高中,新北市石碇區隆盛里 八分寮45號,25.0128178,121.6420778,"25.0128178, 121.6420778"
新北市立丹鳳高級中學,高中,新北市新莊區龍安路72號,25.0210049,121.4165326,"25.0210049, 121.4165326"
新北市立清水高中,高中,新北市土城區明德路一段72號,24.9822007,121.464238,"24.9822007, 121.464238"
新北市立三民高級中學,高中,新北市蘆洲區三民路96號,25.086889,121.4737007,"25.086889, 121.4737007"
新北市立錦和高中,高中,新北市中和區錦和路163號,24.992544,121.491084,"24.992544, 121.491084"
新北市立光復高級中學,高中,新北市板橋區光環路一段7號,25.0164817,121.4830252,"25.0164817, 121.4830252"
新北市立竹圍高級中學,高中,新北市淡水區竹林路35號,25.1460169,121.4617129,"25.1460169, 121.4617129"
新北市立北大高中,高中,新北市三峽區大義路277號,24.9485545,121.375743,"24.9485545, 121.375743"
豐珠中學,中學,新北市貢寮區雞母嶺街6-6號,25.0656393,121.9017465,"25.0656393, 121.9017465"
新北市立鶯歌高級工商職業學校,職業學校,新北市鶯歌區中正三路154號,24.9396914,121.3348525,"24.9396914, 121.3348525"
新北市立樟樹國際實創高級中等學校,高中,新北市汐止區樟樹二路135號,25.0659772,121.6398504,"25.0659772, 121.6398504"
臺北市私立育達高級中等學校,私立學校,台北市松山區寧安街12號,25.0495918,121.5537941,"25.0495918, 121.5537941"
臺北市立西松高級中學,高中,台北市松山區健康路325巷7號,25.05537,121.5663535,"25.05537, 121.5663535"
臺北市立中崙高級中學,高中,台北市松山區八德路四段101號,25.0496729,121.5616827,"25.0496729, 121.5616827"
臺北市協和祐德高級中等學校,高中,台北市信義區忠孝東路五段790巷27號,25.04252,121.5835426,"25.04252, 121.5835426"
臺北市立松山高級中學,高中,台北市信義區基隆路一段156號,25.0435047,121.565387,"25.0435047, 121.565387"
臺北市立永春高級中學,高中,台北市信義區松山路654號,25.0334697,121.5788417,"25.0334697, 121.5788417"
臺北市立松山高級商業家事職業學校,職業學校,台北市信義區松山路655號,25.0350498,121.5806133,"25.0350498, 121.5806133"
臺北市立松山高級工農職業學校,職業學院,台北市信義區忠孝東路五段236巷15號,25.0398123,121.5721029,"25.0398123, 121.5721029"
國立臺灣師範大學附屬高級中學,高中,台北市大安區信義路三段143號,25.0336592,121.5404218,"25.0336592, 121.5404218"
台北市私立延平高級中學,高中,台北市大安區建國南路一段275號,25.0367982,121.5384617,"25.0367982, 121.5384617"
臺北市私立金甌女子高級中學,學校,台北市大安區杭州南路二段1號,25.0349867,121.5240585,"25.0349867, 121.5240585"
臺北市私立復興實驗高級中學,學校,台北市大安區敦化南路1段262號,25.0391975,121.5475801,"25.0391975, 121.5475801"
